"id","nome","tipo","estado"
72,"CGU - Controladoria-Geral da União",3,NULL
73,"CHESF - Companhia Hidro Elétrica do São Francisco",3,NULL
74,"CMF - Colégio Militar de Fortaleza",3,NULL
75,"CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico",3,NULL
76,"Codevasf - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba",3,NULL
77,"Colog/CE - Comando Logístico do Exército",3,NULL
78,"Companhia Brasileira de Trens Urbanos",5,NULL
79,"Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil",4,NULL
80,"Companhia Docas do Rio de Janeiro",2,19
81,"CONDER - Companhia de Desenvolvimento Urbano do Estado da Bahia",2,5
82,"Confederacao Brasileira de Desportos Para Cegos Cbdc",3,NULL
83,"Conselho do Povo Indígena Ingaricó",2,23
84,"COOPHRS - Cooperativa de Habitação da Região Sul",4,NULL
85,"Coord. de Gestão Orçamentária e Financeira do Cnpq - Mct",3,NULL
86,"Coordenadoria Municipal de Defesa Civil - Comdec",1,NULL
87,"Coordenadoria Municipal de Protecao e Defesa Civil - Compdec",1,NULL
88,"Cootraron - Cooperativa de Trabalho Agro-Ambiental de Rondônia",2,22
89,"CO-RIO - Comitê Organizador dos Jogos Pan-Americanos Rio - 2007 S/C Ltda - Me",1,19
90,"COVEN/MTur - Coordenação-Geral de Convênio - Mtur",3,NULL
91,"CRA-CE - Conselho Regional de Administração do Ceará",2,6
92,"Crea/ES - Conselho Regional de Engenharia e Agronomia do Estado do Espírito Santo",2,8
93,"Crea/RS - Conselho Regional de Engenharia e Agronomia do Estado do Rio Grande do Sul",2,21
94,"CRF-CE - Conselho Regional de Farmácia do Estado do Ceará",2,6
95,"CRMV-PE - Conselho Regional de Medicina Veterinária do Estado de Pernambuco",2,17
96,"CRO/DF - Conselho Regional de Odontologia do Distrito Federal",2,7
97,"CRO/RJ - Conselho Regional de Odontologia do Rio de Janeiro",2,19
98,"CRO-2ªRM - Comissão Regional de Obras da 2ª Região Militar",4,NULL
99,"DALOG - Diretoria de Administração e Logística",3,NULL
100,"DCT/CE - Departamento de Ciência e Tecnologia do Exército",3,NULL
101,"DEC/CE - Departamento de Engenharia e Construção do Exército",3,NULL
102,"Decea - Departamento de Controle do Espaço Aéreo da Aeronáutica",3,NULL
103,"Departamento Regional do Sesi No Estado de Minas Gerais",2,13
104,"DEPCN - Departamento do Programa Calha Norte",3,NULL
105,"Depen - Departamento Penitenciário Nacional - Mj",3,NULL
106,"Diocese de Roraima",2,23
107,"Dirsa - Diretoria de Saúde da Aeronáutica",3,NULL
108,"Distrito de Irrigação da Baixada Ocidental Maranhense",4,NULL
109,"DITALPI - Distrito de Irrigação Tabuleiros Litorâneos do Piauí",4,NULL
110,"DNIT - Departamento Nacional de Infraestrutura de Transportes",3,NULL
111,"DNOCS - Departamento Nacional de Obras Contra As Secas",3,NULL
112,"DN-PP - Diretório Nacional do Pp - Je",3,NULL
113,"DPRF - Departamento de Polícia Rodoviária Federal",3,NULL
114,"DR PSDB/MA - Diretório Regional do Psdb/MA - Je",2,10
115,"ECT - Empresa Brasileira de Correios e Telegrafos - Ect",3,NULL
116,"ECT-AM-SILVES - Empresa Brasileira de Correios e Telegrafos - Ect - AC Silves",1,4
117,"ECT-SE-MG - Empresa Brasileira de Correios e Telegrafos - Ect - Superintendência Estadual de Operações Minas Gerais",2,13
118,"ECT-SE-MT - Empresa Brasileira de Correios e Telegrafos - Ect - Superintendência Estadual de Operações Mato Grosso",2,11
119,"ECT-SE-PB - Empresa Brasileira de Correios e Telegrafos - Ect - Superintendência Estadual de Operações Na Paraíba",2,15
120,"ECT-TO-Rio Sono - Empresa Brasileira de Correios e Telegrafos - Ect - AC Rio Sono/TO",1,27
121,"Eletroacre - Companhia de Eletricidade do Acre (privatizada)",2,1
122,"Eletrobras - Est Uni - Centrais Elétricas Brasileiras S.A. - Eletrobras Estabelecimentos Unificados",3,NULL
123,"EMBRATUR - Instituto Brasileiro de Turismo",3,NULL
124,"Empresa Brasileira de Correios e Telegrafos - Ect - Diretoria Regional No Espírito Santo - Dr/Es(extinta)",2,8
125,"Empresa Brasileira de Correios e Telegrafos - Ect - Diretoria Regional No Pará - Dr/Pa(extinta)",2,14
126,"Empresa Brasileira de Infra-Estrutura Aeroportuária - Superintendência Regional do Nordeste - Md",4,NULL
127,"Empresa Brasileira de Pesquisa Agropecuária",3,NULL
128,"EOG/AC - Entidades/Órgãos do Governo do Estado do Acre",2,1
129,"EOG/AL - Entidades/Órgãos do Governo do Estado de Alagoas",2,2
130,"EOG/AM - Entidades/Órgãos do Governo do Estado do Amazonas",2,4
131,"EOG/AP - Entidades/Órgãos do Governo do Estado do Amapá",2,3
132,"EOG/BA - Entidades/Órgãos do Governo do Estado da Bahia",2,5
133,"EOG/CE - Entidades/Órgãos do Governo do Estado do Ceará",2,6
134,"EOG/DF - Entidades/Órgãos do Governo do Distrito Federal",2,7
135,"EOG/ES - Entidades/Órgãos do Governo do Estado do Espírito Santo",2,8
136,"EOG/GO - Entidades/Órgãos do Governo do Estado de Goiás",2,9
137,"EOG/MA - Entidades/Órgãos do Governo do Estado do Maranhão",2,10
138,"EOG/MG - Entidades/Órgãos do Governo do Estado de Minas Gerais",2,13
139,"EOG/MS - Entidades/Órgãos do Governo do Estado do Mato Grosso do Sul",2,12
140,"EOG/MT - Entidades/Órgãos do Governo do Estado de Mato Grosso",2,11
141,"EOG/PA - Entidades/Órgãos do Governo do Estado do Pará",2,14
142,"EOG/PB - Entidades/Órgãos do Governo do Estado da Paraíba",2,15
143,"EOG/PE - Entidades/Órgãos do Governo do Estado de Pernambuco",2,17
144,"EOG/PI - Entidades/Órgãos do Governo do Estado do Piauí",2,18
145,"EOG/PR - Entidades/Órgãos do Governo do Estado do Paraná",2,16
146,"EOG/RJ - Entidades/Órgãos do Governo do Estado do Rio de Janeiro",2,19
147,"EOG/RN - Entidades/Órgãos do Governo do Estado do Rio Grande do Norte",2,20
148,"EOG/RO - Entidades/Órgãos do Governo do Estado de Rondônia",2,22
149,"EOG/RR - Entidades/Órgãos do Governo do Estado de Roraima",2,23
150,"EOG/RS - Entidades/Órgãos do Governo do Estado do Rio Grande do Sul",2,21
151,"EOG/SC - Entidades/Órgãos do Governo do Estado de Santa Catarina",2,24
152,"EOG/SE - Entidades/Órgãos do Governo do Estado de Sergipe",2,26
153,"EOG/SP - Entidades e Órgãos do Governo do Estado de São Paulo",2,25
154,"EOG/TO - Entidades/Órgãos do Governo do Estado de Tocantins",2,27
155,"ESG - Escola Superior de Guerra",3,NULL
156,"ESTADUAIS - Órgãos e Entidades Estaduais (vinculador)",2,NULL
157,"FAT - Fundo de Amparo Ao Trabalhador",3,NULL
158,"FCP - Fundação Cultural Palmares",3,NULL
159,"FETAG - RR - Federacao dos Trabahadores Na Agricultura do Estado de Roraima",2,23
160,"FINEP - Financiadora de Estudos e Projetos",3,NULL
161,"FNAS - Fundo Nacional de Assistência Social",3,NULL
162,"FNDCT - Fundo Nacional de Desenvolvimento Científico e Tecnológico",3,NULL
163,"FNDE - Fundo Nacional de Desenvolvimento da Educação",3,NULL
164,"FNMA - Fundo Nacional do Meio Ambiente",3,NULL
165,"FNMA/CEF-MMA - Fundo Nacional do Meio Ambiente - Cef/Mma",3,NULL
166,"FNS - Fundo Nacional de Saúde - MS",3,NULL
167,"Funasa - Fundação Nacional de Saúde",3,NULL
168,"FUNASA/DF - Funasa - Superintendência Estadual/DF (extinta)",2,7
169,"Fundação de Apoio a Pesquisa e Extensão - Ufpb - Mec",2,15
170,"Fundação de Apoio Ao Desenvolvimento da Ufpe - Mec",2,17
171,"Fundacao de Turismo de Mato Grosso do Sul",2,12
172,"Fundacao Delmiro Gouveia",3,NULL
173,"Fundação Getúlio Vargas",3,NULL
174,"Fundação Universidade de Brasília",2,7
175,"Fundação Universidade Federal de Mato Grosso do Sul",3,12
176,"Fundação Universidade Federal de Rondônia",3,22
177,"Fundacao Vingt Rosado",1,20
178,"Fundo de Saude do Municipio de Porto Rico do Maranhao",1,10
179,"Fundo Especial de Assistência Financeira Aos Partidos Políticos - Fundo Partidário",3,NULL
180,"Fundo Municipal de Saude",1,NULL
181,"Fundo Municipal de Saude de Belo Jardim - PE",1,17
182,"Fundo Municipal de Saude de Borebi-SP",1,25
183,"Fundo Municipal de Saude de Capinzal do Norte",1,10
184,"Fundo Municipal de Saude de Guajara-Mirim - RO",1,22
185,"Fundo Municipal de Saude de Ilheus",1,19
186,"Fundo Municipal de Saude de Paraiso do Tocantins",1,27
187,"Fundo Municipal de Saude de Pinheiro/MA",1,10
188,"Fundo Municipal de Saude de Presidente Janio Quadros",1,5
189,"Fundo Municipal de Saude de Sao Bernardo",1,25
190,"Fundo Municipal de Saude de Uruacu",1,9
191,"Fundo Municipal de Saude de Uruara",1,14
192,"Fundo Municipal de Saude do Município de Sete Lagoas - MG",1,13
193,"Fundo Nacional da Cultura - Divisão de Execução Orçamentária do Fnc",3,NULL
194,"Furnas Centrais Elétricas S.A.",3,NULL
195,"Genius Instituto de Tecnologia",3,NULL
196,"Gerência Executiva do Inss - Anápolis/GO - Inss/Mps",2,9
197,"Gerência Executiva do Inss - Aracaju/SE - Inss/Mps",2,26
198,"Gerência Executiva do Inss - Belém/PA - Inss/Mps",2,14
199,"Gerência Executiva do Inss - Campinas/SP - Inss/Mps",2,25
200,"Gerência Executiva do Inss - Campo Grande/MS - Inss/Mps",2,12
201,"Gerência Executiva do Inss - Campos dos Goytacazes/RJ - Inss/Mps",2,19
202,"Gerência Executiva do Inss - Caruaru/PE - Inss/Mps",2,17
203,"Gerência Executiva do Inss - Cascavel/PR - Inss/Mps",2,16
204,"Gerência Executiva do Inss - Curitiba/PR - Inss/Mps",2,16
205,"Gerência Executiva do Inss - Divinópolis/MG - Inss/Mps",2,13
206,"Gerência Executiva do Inss - Feira de Santana/BA - Inss/Mps",2,5
207,"Gerência Executiva do Inss - Florianópolis/SC - Inss/Mps",2,24
208,"Gerência Executiva do Inss - Garanhuns/PE - Inss/Mps",2,17
209,"Gerência Executiva do Inss - Governador Valadares/MG - Inss/Mps",2,13
210,"Gerência Executiva do Inss - Juazeiro do Norte/CE - Inss/Mps",2,6
211,"Gerência Executiva do Inss - Jundiaí/SP - Inss/Mps",2,25
212,"Gerência Executiva do Inss - Londrina/PR - Inss/Mps",2,2
213,"Gerência Executiva do Inss - Maceió/AL - Inss/Mps",2,2
214,"Gerência Executiva do Inss - Niterói/RJ - Inss/Mps",2,19
215,"Gerência Executiva do Inss - Petrolina/PE - Inss/Mps",2,17
216,"Gerência Executiva do Inss - Piracicaba/SP - Inss/Mps",2,25
217,"Gerência Executiva do Inss - Presidente Prudente/SP - Inss/Mps",2,25
218,"Gerência Executiva do Inss - Ribeirão Preto/SP - Inss/Mps",2,25
219,"Gerência Executiva do Inss - Rio de Janeiro-Centro/RJ - Inss/Mps",2,19
220,"Gerência Executiva do Inss - Santos/SP - Inss/Mps",2,25
221,"Gerência Executiva do Inss - São Paulo Centro/SP - Inss/Mps",2,25
222,"Gerência Executiva do Inss - Sorocaba/SP - Inss/Mps",2,25
223,"Gerência Executiva do Inss - Volta Redonda/RJ - Inss/Mps",2,19
224,"Gerência Executiva do Inss Em São Paulo/Sul",2,25
225,"Gerência Executiva do Inss No Rio de Janeiro/Norte",2,19
226,"GHC - Hospital Nossa Senhora da Conceição S.A.",2,21
227,"GM-MAPA - Ministerio da Agricultura, Pecuária e Abastecimento - Gabinete do Ministro",3,NULL
228,"Governo do Estado da Paraíba",2,15
229,"Governo do Estado de Alagoas",2,2
230,"Governo do Estado de Pernambuco",2,17
231,"Governo do Estado de Rondônia",2,22
232,"Governo do Estado de Roraima",2,23
233,"Governo do Estado de Sergipe",2,26
234,"Governo do Estado do Amapá",2,3
235,"Governo do Estado do Amazonas",2,4
236,"Governo do Estado do Maranhão",2,10
237,"Governo do Estado do Piauí",2,18
238,"Governo do Estado do Rio Grande do Norte",2,20
239,"Governo do Estado do Rio Grande do Sul
",2,21
240,"Governo do Estado do Tocantins",2,27
241,"HFA - Hospital das Forças Armadas",3,NULL
242,"HFA - Hospital Federal do Andaraí",3,NULL
243,"HFI - Hospital Federal Ipanema",3,NULL
244,"HFSE - Hospital Federal dos Servidores do Estado",3,NULL
245,"HOSP.CLIN.-UFPR - Hospital de Clinicas da Ufpr - Ebserh",2,16
246,"IAST - Instituto Amazonico de Desenvolvimento Social, Amparo a Pesquisa e a Tecnologia - Saber da Terra",3,NULL
247,"Ibama - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis",3,NULL
248,"IBAMA/DEFIN/DF - Ibama - Defin/DF - Mma",3,NULL
249,"IBDS - Instituto Brasileiro Pelo Desenvolvimento Sanitario",3,NULL
250,"IDARON - Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia - Idaron",2,22
251,"IFMS - Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",3,12
252,"IME - Instituto Militar de Engenharia",3,NULL
253,"INC - Instituto Nacional de Cardiologia",3,NULL
254,"INCRA - Instituto Nacional de Colonização e Reforma Agrária",3,NULL
255,"INCRA/SR-07/RJ - Incra - Superint. Regional/RJ (excluída)",2,19
256,"Incra/SR-26/TO - Incra - Superint. Regional/TO (excluída)",2,27
257,"Infraero - Empresa Brasileira de Infraestrutura Aeroportuária",3,NULL
258,"Inmetro - Instituto Nacional de Metrologia, Qualidade e Tecnologia",3,NULL
259,"Inpa - Instituto Nacional de Pesquisas da Amazônia",3,NULL
260,"Inpi - Instituto Nacional da Propriedade Industrial",3,NULL
261,"INSS - Instituto Nacional do Seguro Social",3,NULL
262,"Instituto de Desenvolvimento Cientifico e Tecnologico D",3,NULL
263,"Into - Instituto Nacional de Traumatologia e Ortopedia Jamil Hadad",3,NULL
264,"IPAD/PE - Instituto de Planejamento e Apoio Ao Desenvolvimento Tecnológico e Científico",2,17
265,"Iphan - Instituto do Patrimônio Histórico e Artístico Nacional - Iphan",3,NULL
266,"ISAE - Instituto Superior de Administração e Economia",3,NULL
267,"ITEC - Instituto de Tecnologia, Pesquisa e Cultura da Amazônia",3,NULL
268,"IV CINDACTA - 4º Centro Integrado de Defesa Aérea e Controle de Tráfego Aéreo - Cindacta",3,NULL
269,"IV COMAR - 4º Comando Aéreo Regional",3,NULL
270,"MCIDADANIA - Ministério da Cidadania",3,NULL
271,"MCTIC - Ministério da Ciência, Tecnologia, Inovações e Comunicações (extinto)",3,NULL
272,"MDA - Ministério do Desenvolvimento Agrário (extinta)",3,NULL
273,"MDR - Ministério do Desenvolvimento Regional",3,NULL
274,"MEC - Ministério da Educação",3,NULL
275,"MECON - Ministério da Economia",3,NULL
276,"MinC - Ministério da Cultura (extinta)",3,NULL
277,"MINFRA - Ministério da InfraestruturaSPA - Autoridade Portuaria de Santos S.a",3,NULL
278,"MJ - Ministério da Justiça (extinta)",3,NULL
280,"MJSP - Ministério da Justiça e Segurança Pública",3,NULL
281,"MMFDH - Ministério da Mulher, da Família e dos Direitos Humanos",3,NULL
282,"MTE - Ministério do Trabalho e Emprego (extinto)",3,NULL
283,"MUNICIPAIS - Órgãos e Entidades Municipais (vinculador)",1,NULL
284,"Municipio de Codajas",1,4
285,"Municipio de Lagoa Santa - GO",1,9
286,"Município de Mata Roma",1,10
287,"Municipio de Picos - Secretaria de Saude",1,18
288,"Municipio de Vera Mendes - Secretaria de Saude e Acao Comunitaria",1,18
289,"PAGL - Prefeitura de Aeronáutica do Galeão",2,19
290,"PE-MAPA - Ministério da Agricultura, Pecuária e Abastecimento",3,NULL
291,"PE-MAPA - Ministério da Agricultura, Pecuária e Abastecimento
",3,NULL
292,"PE-MD - Ministério da Defesa",3,NULL
293,"PE-MD/CA - Comando da Aeronáutica",3,NULL
294,"PE-MD/CE - Comando do Exército",3,NULL
295,"PE-MD/CM - Comando da Marinha",3,NULL
296,"PE-MF - Ministério da Fazenda (extinta)",3,NULL
297,"PE-MI - Ministério da Integração Nacional (extinta)",3,NULL
298,"PE-MMA - Ministério do Meio Ambiente",3,NULL
299,"PE-MPA - Ministério da Pesca e Aquicultura (extinta)",3,NULL
300,"PE-MRE - Ministério das Relações Exteriores",3,NULL
301,"PE-MS - Ministério da Saúde",3,NULL
302,"PE-PR - Presidência da República",3,NULL
303,"Petróleo Brasileiro S.A.",3,NULL
304,"PGFN - Procuradoria-Geral da Fazenda Nacional",3,NULL
305,"Piaui Secretaria de Saude - Laboratorio Central de Saude Publica Dr Costa Alvarenga",2,18
306,"Prefeitura Municipal de Abadia de Goiás - GO",1,9
307,"Prefeitura Municipal de Abadiânia - GO",1,9
308,"Prefeitura Municipal de Abaeté - MG",1,13
309,"Prefeitura Municipal de Abaetetuba - PA",1,14
310,"Prefeitura Municipal de Abaiara - CE",1,6
311,"Prefeitura Municipal de Abaíra - BA",1,5
312,"Prefeitura Municipal de Abatiá - PR",1,16
313,"Prefeitura Municipal de Abel Figueiredo - PA",1,14
314,"Prefeitura Municipal de Abre Campo - MG",1,13
315,"Prefeitura Municipal de Açailândia - MA",1,10
316,"Prefeitura Municipal de Acajutiba - BA",1,5
317,"Prefeitura Municipal de Acará - PA",1,14
318,"Prefeitura Municipal de Acarapé - CE",1,6
319,"Prefeitura Municipal de Acaraú - CE",1,6
320,"Prefeitura Municipal de Acauã - PI",1,18
321,"Prefeitura Municipal de Acopiara - CE",1,6
322,"Prefeitura Municipal de Acrelândia - AC",1,1
323,"Prefeitura Municipal de Afogados da Ingazeira - PE",1,17
324,"Prefeitura Municipal de Afonso Cunha - MA",1,10
325,"Prefeitura Municipal de Afrânio - PE",1,17
326,"Prefeitura Municipal de Afuá - PA",1,14
327,"Prefeitura Municipal de Agrolândia - SC",1,24
328,"Prefeitura Municipal de Água Azul do Norte - PA",1,14
329,"Prefeitura Municipal de Água Branca - AL",1,2
330,"Prefeitura Municipal de Água Branca - PB",1,15
331,"Prefeitura Municipal de Água Branca - PI",1,18
332,"Prefeitura Municipal de Água Doce do Maranhão - MA",1,10
333,"Prefeitura Municipal de Água Fria de Goiás - GO",1,9
334,"Prefeitura Municipal de Água Preta - PE",1,17
335,"Prefeitura Municipal de Águas Belas - PE",1,17
336,"Prefeitura Municipal de Águas Lindas de Goiás - GO",1,9
337,"Prefeitura Municipal de Águas Vermelhas - MG",1,13
338,"Prefeitura Municipal de Aiquara - BA",1,5
339,"Prefeitura Municipal de Aiuaba - CE",1,6
340,"Prefeitura Municipal de Alagoa Grande - PB",1,15
341,"Prefeitura Municipal de Alagoinha - PE",1,17
342,"Prefeitura Municipal de Alagoinhas - BA",1,5
343,"Prefeitura Municipal de Alcântara - MA",1,10
344,"Prefeitura Municipal de Aldeias Altas - MA",1,10
345,"Prefeitura Municipal de Alegre - ES",1,8
346,"Prefeitura Municipal de Alenquer - PA",1,14
347,"Prefeitura Municipal de Alexandria - RN",1,20
348,"Prefeitura Municipal de Alexânia - GO",1,9
349,"Prefeitura Municipal de Alfenas - MG",1,13
350,"Prefeitura Municipal de Algodão de Jandaíra - PB",1,15
351,"Prefeitura Municipal de Aliança - PE",1,17
352,"Prefeitura Municipal de Aliança do Tocantins - TO",1,27
353,"Prefeitura Municipal de Almadina - BA",1,5
354,"Prefeitura Municipal de Almeirim - PA",1,14
355,"Prefeitura Municipal de Almenara - MG",1,13
356,"Prefeitura Municipal de Alpercata - MG",1,13
357,"Prefeitura Municipal de Alpinópolis - MG",1,13
358,"Prefeitura Municipal de Alta Floresta - MT",1,11
359,"Prefeitura Municipal de Altair - SP",1,25
360,"Prefeitura Municipal de Altamira - PA",1,14
361,"Prefeitura Municipal de Altamira do Maranhão - MA",1,10
362,"Prefeitura Municipal de Alto Alegre - RR",1,23
363,"Prefeitura Municipal de Alto Alegre do Maranhão - MA",1,10
364,"Prefeitura Municipal de Alto Alegre do Pindaré - MA",1,10
365,"Prefeitura Municipal de Alto Longá - PI",1,18
366,"Prefeitura Municipal de Alto Paraíso - RO",1,22
367,"Prefeitura Municipal de Alto Paraíso de Goiás - GO",1,9
368,"Prefeitura Municipal de Alto Piquiri - PR",1,16
369,"Prefeitura Municipal de Alto Rio Novo - ES",1,8
370,"Prefeitura Municipal de Alto Santo - CE",1,6
371,"Prefeitura Municipal de Altos - PI",1,18
372,"Prefeitura Municipal de Alvarães - AM",1,4
373,"Prefeitura Municipal de Álvares Florence - SP",1,25
374,"Prefeitura Municipal de Álvaro de Carvalho - SP",1,25
375,"Prefeitura Municipal de Alvinópolis - MG",1,13
376,"Prefeitura Municipal de Alvorada D'oeste - RO",1,22
377,"Prefeitura Municipal de Amajari - RR",1,23
378,"Prefeitura Municipal de Amambaí - MS",1,12
379,"Prefeitura Municipal de Amapá do Maranhão - MA",1,10
380,"Prefeitura Municipal de Amargosa - BA",1,5
381,"Prefeitura Municipal de Amaturá - AM",1,4
382,"Prefeitura Municipal de Amélia Rodrigues - BA",1,5
383,"Prefeitura Municipal de Americana - SP",1,25
384,"Prefeitura Municipal de Américo Brasiliense - SP",1,25
385,"Prefeitura Municipal de Américo de Campos - SP",1,25
386,"Prefeitura Municipal de Ametista do Sul - RS",1,21
387,"Prefeitura Municipal de Amontada - CE",1,6
388,"Prefeitura Municipal de Anagé - BA",1,5
389,"Prefeitura Municipal de Anajás - PA",1,14
390,"Prefeitura Municipal de Anajatuba - MA",1,10
391,"Prefeitura Municipal de Ananás - TO",1,27
392,"Prefeitura Municipal de Ananindeua - PA",1,14
393,"Prefeitura Municipal de Anapu - PA",1,14
394,"Prefeitura Municipal de Anapurus - MA",1,10
395,"Prefeitura Municipal de Anastácio - MS",1,12
396,"Prefeitura Municipal de Anaurilândia - MS",1,12
397,"Prefeitura Municipal de Andorinha - BA",1,5
398,"Prefeitura Municipal de Angelândia - MG",1,13
399,"Prefeitura Municipal de Angelim - PE",1,17
400,"Prefeitura Municipal de Angical - BA",1,5
401,"Prefeitura Municipal de Anori - AM",1,4
402,"Prefeitura Municipal de Antonina - PR",1,16
403,"Prefeitura Municipal de Antonina do Norte - CE",1,6
404,"Prefeitura Municipal de Antônio Cardoso - BA",1,5
405,"Prefeitura Municipal de Antônio Martins - RN",1,20
406,"Prefeitura Municipal de Aparecida de Goiânia - GO",1,9
407,"Prefeitura Municipal de Apiaí - SP",1,25
408,"Prefeitura Municipal de Apicum-Açu - MA",1,10
409,"Prefeitura Municipal de Apodi - RN",1,20
410,"Prefeitura Municipal de Apuí - AM",1,4
411,"Prefeitura Municipal de Apuiarés - CE",1,6
412,"Prefeitura Municipal de Aquidabã - SE",1,26
413,"Prefeitura Municipal de Aquidauana - MS",1,12
