"numero_processo","ano","un_tecnica_responsavel","un_responsavel_agir","relator","assunto","ano_final"
2820169,2016,"SEC-PE Secretaria do TCU no Estado de Pernambuco","SEC-PE Secretaria do TCU no Estado de Pernambuco",2,"TCE instaurada por meio do Processo 71000.102610/2015-80, em função de dano apurado no âmbito do Termo de Responsabilidade 1.159/99, firmado entre o Fundo Nacional de Assistência Social e a Prefeitura Municipal de Petrolina/PE, que tem por objeto Serviços assistências de natureza continuada de atenção à criança carente, de atendimento à pessoa idosa é de atenção à pessoa portadora de deficiência.",2016
3120160,2016,"SEC-PE Secretaria do TCU no Estado de Pernambuco","SEC-PE Secretaria do TCU no Estado de Pernambuco",2,"TCE instaurada por meio do Processo 71000.102609/2015-55, em função de dano apurado no âmbito do Termo de Responsabilidade 2.482/1999, firmado entre o Ministério do Desenvolvimento Social e Combate à Fome e a Prefeitura Municipal de Panelas/PE, que tem por objeto implantação do Programa de Erradicação do Trabalho Infantil",2016
4020150,2015,"SEC-AL Secretaria do TCU no Estado de Alagoas","SEC-AL Secretaria do TCU no Estado de Alagoas",13,"Tomada de Contas Especial contra a Sra. Roseane Jatobá Lins (ex-Prefeita Municipal de Jequiá da Praia / AL). Não execução dos objetivos pactuados do Convênio 512/2005 (Siafi 553915), firmado com a Funasa. Execução de melhorias sanitárias domiciliares.",NULL
4120165,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",4,"TCE contra Veneziano Vital do Rêgo Segundo Neto - ex-Prefeito - Prefeitura Municipal de Campina Grande/PB - Irreg. no Convênio nº 360/2009 - Ministério do Turismo - MTur - SIAFI n.° 703586.",2021
4320150,2015,"SEC-AL Secretaria do TCU no Estado de Alagoas","SEC-AL Secretaria do TCU no Estado de Alagoas",13,"Tomada de Contas Especial contra os Srs. Genivaldo Moura da Silva e José Carlos França da Silva e a Associação de Capacitação e Apoio à Trabalhadores Rurais do Estado de Alagoas - Acata. Impugnação da despesa. Convênio 11.000/2004 (Siafi 517994) firmado com o Incra",NULL
4420164,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",12,"Programa de Proteção Social Básica (PSB) e Programa de Proteção Social Especial (PSE). Exercício: 2008",2021
4520152,2015,"SEC-RJ Secretaria do TCU no Estado do Rio de Janeiro","SEC-RJ Secretaria do TCU no Estado do Rio de Janeiro",7,"01400.037323/2014-12 - Omissão no dever de prestar contas",NULL
4720155,2015,"SEC-MT Secretaria do TCU no Estado de Mato Grosso","SEC-MT Secretaria do TCU no Estado de Mato Grosso",4,"Convênio nº 158/95 (SIAFI 316893). Objeto: execução de obras e serviços de projeto, pavimentação, implantação, obras de arte especiais e complementares no Trecho Contorno de Cáceres da Rodovia BR-070/MT.",NULL
5020164,2016,"Seproc Secretaria de Apoio à Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Ministério do Desenvolvimento Social e Combate à Fome/MDS. Prefeitura Municipal de Campo Erê/SC. Impugnação parcial de despesas. (Proc.: 71000.055134/2015-09; Conv.: 722020/2009)",2022
5120209,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",7,"TCE instaurada pelo(a) Superintendência da Zona Franca de Manaus em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio 042/2000, firmado com o/a SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS, Siafi/Siconv 406759, função INDUSTRIA, que teve como objeto EXECUCAO DO PROJETO CONSTRUCAO DE TERMINAL DE PASSAGEIROS, CARGAS E ENTREPOSTO DE DE PESCADO, COM 340M2 DE AREA , EQUIPADO COM 01(UM) GRUPO GERADOR, 01(UMA) FABRICA DE GELO COM CAPACIDADE PARA TRES TONELADAS E 02(DUAS) CAMARAS FRIGORIFICAS, VISANDO INFRA-ESTRUTURA ADEQUADA, COM SEGURANCA E CONFORTO PARA O EMBARQUE E DESEMBARQUE DE PASSAGEIROS E CARGAS, DISPONIBILIZANDO A COMERCIALIZACAO DA PRODUCAO AGRICOLA NO MUNICIPIO DE CAREIRO, NO ESTADO DO AMAZONAS. (nº da TCE no sistema: 2173/2019).",2021
5620162,2016,"SEC-PE Secretaria do TCU no Estado de Pernambuco","SEC-PE Secretaria do TCU no Estado de Pernambuco",2,"TCE instaurada por meio do Processo 71000.011749/2015-15, em função de dano apurado no âmbito do Termo de Responsabilidade 2261 MPAS/SEAS/2000, firmado entre o Fundo Nacional de Assistência Social e a PM de São Benedito do Sul/PE, que tem por objeto apoiar, por intermédio do Projeto Agente Jovem de Desenvolvimento Social e Humano, ações de desenvolvimento social destinadas aos jovens",2017
5720169,2016,"SEC-PE Secretaria do TCU no Estado de Pernambuco","SEC-PE Secretaria do TCU no Estado de Pernambuco",2,"TCE instaurada por meio do Processo 71000.055123/2015-11, em função da omissão do dever de prestar contas dos recursos transferidos pelo Fundo Nacional de Assistência Social à Prefeitura Municipal de Araçoiaba/PE, exercício 2010, que tem por objeto co-financiamento federal das ações continuidades da assistência social e sua prestação de contas, por meio do SUAS Web",2017
5820165,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"TCE instaurada por meio do Processo 00190.007294/2015-03, em função de dano apurado no âmbito do Contrato de Repasse n. 212.110-03/2006, firmado entre o Ministério dos Esportes e a Prefeitura Municipal de Tabira/PE, que tem por objeto a construção de quadra poliesportiva",2022
5920161,2016,"SEC-TO Secretaria do TCU no Estado de Tocantins","SEC-TO Secretaria do TCU no Estado de Tocantins",4,"Irregularidades na execução do Convênio nº 323/2010 - Ministério do Turismo - MTur - SIAFI n.° 733294.",2022
6420173,2017,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",1,"TCE - Tomada de Contas Especial da instaurada pelo Fundo Nacional de Saúde – MS/FNS, em razão da omissão no dever de prestar contas dos Termos de Cooperação 4/2006, 270/2006 e 470/2006, em desfavor da Associação Ipê Rosa (GLST) Gays, Lésbicas, Simpatizantes e Travestis,solidariamente com Sr. Elandias Bezerra Sousa.",2020
7120196,2019,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",12,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao TRANSFERENCIAS A ESTADO E MUNÍCIPIOS PBA BRALF, exercício 2013, função EDUCACAO (nº da TCE no sistema: 1265/2018).",2020
7120200,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Ministério do Desenvolvimento Regional em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio CONV. 97/2002-MI, firmado com o/a MINISTERIO DA INTEGRACAO NACIONAL, Siafi/Siconv 456151, função DEFESA NACIONAL, que teve como objeto PAVIMENTACAO URBANA. (nº da TCE no sistema: 1048/2019).",2021
7220206,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Ministério do Desenvolvimento Regional em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio 530001200500029, firmado com o/a MINISTERIO DA INTEGRACAO NACIONAL, Siafi/Siconv 531006, função GESTAO AMBIENTAL, que teve como objeto Conclusão do projeto executivo e a elaboração de estudos ambientais e de viabilidade hídrica da barragem Castelo, no município de Juazeiro do Piauí. (nº da TCE no sistema: 1289/2019).",2022
7520167,2016,"SEC-SP Secretaria do TCU no Estado de São Paulo","SEC-SP Secretaria do TCU no Estado de São Paulo",8,"Tomada de Contas Especial instaurada pelo MTE contra o Instituto Brasileiro de Estudos e Apoio Comunitário Queiroz Filho e Superintendência do Trabalho Artesanal nas Comunidades por impugnação total das despesas.(Proc. 46219.012211/2006-34, Apenso: 46219.12218; Conv. 004/1999 e Conv. 75/1999; SIAFI: 371.024)",2017
9120189,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pelo Ministério do Desenvolvimento Social, em razão da impugnação total de despesas realizadas com os recursos repassados pelo FNAS ao Município de Cansanção/BA, à conta dos Programas PSB/PSE, no exercício 2009, no âmbito do Sistema Único de Assistência Social - SUAS (Processo original: 71000.105972/2016-11)",2021
9220185,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pelo Ministério do Desenvolvimento Social, em razão da impugnação parcial de despesas realizadas com os recursos do Convênio nº 013/2003, celebrado entre a União, por intermédio do Ministério do Desenvolvimento Social e Combate à Fome, e o Centro de Estudos Socioambientais - Pangea (Processo original: 71000.105966/2016-56)",2020
9320157,2015,"SEC-PB Secretaria do TCU no Estado da Paraíba","SEC-PB Secretaria do TCU no Estado da Paraíba",4,"TCE contra Alexandre Augusto D'Albuquerque Almeida - ex-presidente - Associação Folia de Rua/PB - Omissão das contas do Convênio nº 461/2005 - Ministério da Cultura - MinC - SIAFI n.° 558911.",NULL
9320181,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pela Caixa Econômica Federal, em razão da não consecução dos objetivos pactuados no Contrato de Repasse nº 197.642-02/2006, celebrado entre a União, por intermédio do Ministério do Esporte, e o Município de São Gonçalo dos Campos/BA (Processo original: 00190.000605/2017-67)",2022
9520192,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",13,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Dinheiro Direto na Escola - Plano de Desenvolvimento da Escola ¿ PDDE-PDE, exercício 2010, função EDUCACAO (nº da TCE no sistema: 1274/2018).",2021
9620164,2016,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"Convênio nº 1253/2000(Siafi: 394000). Objeto: Implantação de Núcleo Apoio à Família.",2019
9620202,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"Instaurada pelo Fundo Nacional de Desenvolvimento da Educação, em razão da omissão no dever de prestar contas dos recursos repassados à Prefeitura Municipal de São José do Campestre/RN, modalidade fundo a fundo, à conta do Programa Nacional de Alimentação Escolar / PNAE. exercício 2012, Processo SEI 23034.002464/2017-15",2021
9720195,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",4,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Inclusão de Jovens (Projovem), exercício 2015, função EDUCACAO (nº da TCE no sistema: 1307/2018).",2022
9720209,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"Instaurada pelo FNDE, em razão da omissão no dever de prestar contas dos recursos repassados à Prefeitura Municipal de Iramaia/BA, modalidade fundo a fundo, à conta do Programa de Apoio aos Sistemas de Ensino para Atendimento à Educação de Jovens e Adultos/PEJA, exercício 2006, Processo SEI 23034.002272/2017-17",2022
9820159,2015,"SEC-SC Secretaria do TCU no Estado de Santa Catarina","SEC-SC Secretaria do TCU no Estado de Santa Catarina",6,"CEF. Possível prejuízo causado por empregado público. Responsável: Pedro César Hahn (técnico bancário - gerente). Débito: R$ 459.070,23 (25/11/2013).",NULL
9820191,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Inclusão de Jovens (Projovem), exercício 2016, função EDUCACAO (nº da TCE no sistema: 1306/2018).",2022
9920155,2015,"SEC-PB Secretaria do TCU no Estado da Paraíba","SEC-PB Secretaria do TCU no Estado da Paraíba",12,"TCE contra José Lavoisier Gomes Danta - ex-prefeito - PM de São João do Rio do Peixa/PB - Omissão das contas do Convênio nº 700846/2010 - Fundo Nacional do Desenvolvimento da Educação-ME - FNDE - SIAFI/SICONV: n.° 662579",NULL
9920198,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa de Apoio aos Sistemas de Ensino para Atendimento de Jovens e Adultos (Peja), exercício 2013, função EDUCACAO (nº da TCE no sistema: 1202/2018).",2022
9920201,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"Instaurada pelo FNDE, em razão da impugnação parcial de despesas na execução dos recursos repassados à Prefeitura Municipal de Ponta de Pedras/PA, modalidade fundo a fundo, à conta do Programa Nacional de Alimentação Escolar-PNAE, OBJETO ""Aquisição exclusiva de gêneros alimentícios, em caráter complementar, para atendimento dos alunos matriculados em creches, pré-escolas e em escolas do ensino fundamental das redes federal, estadual, do Distrito Federal e municipal, inclusive as indígenas e em áreas de quilombos"" Processo SEI 23034.008612/2017-13",2022
10120168,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",12,"Programa de Proteção Social Básica (PSB) e Programa de Proteção Social Especial (PSE). Exercício: 2010",2020
10220164,2016,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"Contrato de Repasse n° 105.972-75/2000 (Siafi: 411541). Objeto: ""Implantação de Estrada Vicinal no Projeto de Assentamento Croá.",2019
10420159,2015,"SEC-AL Secretaria do TCU no Estado de Alagoas","SEC-AL Secretaria do TCU no Estado de Alagoas",10,"Tomada de Contas Especial contra o Sr. Renato Alves Costa (ex-Prefeito Municipal de Inhapi / AL). Omissão no dever de prestar contas dos recursos recebidos pelo Pnate e PDDE/2008",NULL
11720170,2017,"SEC-AL Secretaria do TCU no Estado de Alagoas","SEC-AL Secretaria do TCU no Estado de Alagoas",4,"Tomada de contas especial contra o Sr. Antônio Carlos Lima Rezende (ex-Prefeito do município de Pão de Açúcar/AL). Execução parcial do objeto do convênio 1997/2004 (Siafi 559099) firmado com a Funasa. ""Execução de Sistema de Abastecimento de Água"".",2018
11720188,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo FNDE em razão de omissão no dever de prestar contas das despesas dos recursos repassados ao Município de Rio do Fogo/RN, à conta do Programa Nacional de Alimentação Escolar - PNAE e Programa Nacional de Apoio ao Transporte Escolar - PNATE, exercícios de 2006 e 2012, respectivamente.",2020
11920164,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"convênio nº 0671/2010 (Siafi nº 736671). Objeto: incentivo ao turismo por meio da implementação do “Projeto Feagro Vale 2010 – Feira e Exposição Agropecuária do Vale do Braço do Norte e Região.",2021
12020189,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"Tomada de Contas Especial instaurada pelo Fundo Nacional de Desenvolvimento da Educação/Ministério da Educação, em razão da omissão no dever de prestar contas das despesas dos recursos repassados ao Município de Baraúna/RN, à conta do Programa Dinheiro Direto na Escola - PDDE - Ação: Educação Integral e Programa Dinheiro Direto na Escola - PDDE - Ação: Estrutura, ambos no exercício de 2015.",2022
12120150,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",12,"Prejuízo causado à Caixa Econômica Federal",NULL
12320161,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"TCE instaurada por meio do Processo 72031.006263/2014-80, em função de dano apurado no âmbito do Convênio n. 501/2005, firmado entre o Ministério do Turismo e o Centro Integrado de Ressocialização e Desenvolvimento Humano - CIRDH, que tem por objeto o apoio e a promoção do turismo na cidade de Recife/PE, mediante a implementação do projeto intitulado Olinda - Capital da Cultura Brasileira",2022
12420150,2015,"SEC-PB Secretaria do TCU no Estado da Paraíba","SEC-PB Secretaria do TCU no Estado da Paraíba",12,"TCE contra Antônio Ivo de Medeiros (Falecido) - PM de Santa Luzia/PB - Irreg. no Convênio nº 158/2007 - Ministério do Turismo - Mtur - SIAFI n.° 592836.",NULL
12520164,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo Fundo Nacional de Assistência Social, em razão da omissão no dever de prestar contas dos recursos repassados à PM de Rosário/MA, à conta dos Programas de Proteção Social Básica e Proteção Social Especial, no exercício de 2008. (71000.055119/2015-52)",2021
12920151,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"Prejuízo causado a Agência Nacional do Cinema - Ancine/Ministério da Cultura.",NULL
13620166,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"Tomada de Contas Especial instaurado pelo Ministério do Desenvolvimento Social e Combate à Fome, em razão da impugnação total de despesas do Convênio n° CV-210/2009, celebrado com a Prefeitura Municipal de Paço do Lumiar/MA, tendo por objeto ""Apoio à implantação de Feira Comunitária"", com vigência estipulada para o período de 30/12/2009 a 31/5/2012.",2020
13820150,2015,"SEC-PB Secretaria do TCU no Estado da Paraíba","SEC-PB Secretaria do TCU no Estado da Paraíba",4,"TCE contra Claudino César Freire - ex-prefeito - PM de Gurinhém/PB - Omissão no dever de prestar conta do Convênio nº 2.137/2006 - Fundação Nacional de Saúde - FUNASA/Ministério da Saúde - SIAFI 595074",NULL
13820215,2021,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Secretaria Especial do Desenvolvimento Social em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função ASSISTENCIA SOCIAL, para atendimento à/ao PSB/PSE-2010 (nº da TCE no sistema: 4039/2019).",2022
14220182,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo MDS, em razão da impugnação total de despesas realizadas com os recursos repassados pelo FNAS, do então Ministério do Desenvolvimento Social e Combate à Fome, ao Município de Montanhas/RN, na modalidade fundo a fundo, para execução dos Programas de Proteção Social Básica e Proteção Social Especial - PSB/PSE - no exercício de 2007, no âmbito do SUAS.",2022
15220153,2015,"SEC-BA Secretaria do TCU no Estado da Bahia","SEC-BA Secretaria do TCU no Estado da Bahia",15,"TCE instaurada pelo Ministério do Trabalho e Emprego em razão da omissão no dever de prestar contas do Convênio nº 105/2009, celebrado com a Fundação de Assistência Sócio-Educativa e Cultural ¿ FASEC/BA (Processo original: 47101.000029/2012-69)",NULL
15920212,2021,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo(a) Banco do Nordeste do Brasil S.A. em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio FUNDECI nº 2007/0195, firmado com o/a Banco do Nordeste do Brasil S.A., função SEM INFORMACAO, que teve como objeto Colaboração financeira do CONCEDENTE ao CONVENENTE para a execução de pesquisa intitulada ¿LEVANTAMENTO PEDOLÓGICO SEMIDETALHADO NA CHAPADA DO APODI¿, visando realizar o levantamento pedológico Semidetalhado, na escala 1:50.000, de uma área de 165 ha, na região da Chapada do Apodi, utilizando técnicas de sensoriamento remoto e geoprocessamento. (nº da TCE no sistema: 4817/2019).",2022
16220167,2016,"SEC-ES Secretaria do TCU no Estado do Espírito Santo","SEC-ES Secretaria do TCU no Estado do Espírito Santo",6,"Impugnação parcial de despesas realizadas com recursos repassados à Prefeitura Municipal de Pedro Canário/ES, na modalidade fundo a fundo, à conta dos programas Proteção Social Básica - PSB e Proteção Social Especial - PSE, vinculados ao Fundo Nacional de Assistência Social - FNAS.",2018
16220213,2021,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",3,"TCE instaurada pelo(a) Banco do Nordeste do Brasil S.A. em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio FUNDECI nº 2012/170, firmado com o/a BANCO DO NORDESTE DO BRASIL SA, função SEM INFORMACAO, que teve como objeto Colaboração financeira do CONCEDENTE ao CONVENENTE para a execução do projeto intitulado ¿MOSTRA FOTOGRÁFICA DAS BACIAS HIDROGRÁFICAS DO CEARÁ ¿ MÓDULO: ARACOIABA¿, visando promover uma ¿Exposição Fotográfica¿ que apresente as políticas públicas, iniciativas, tecnologias, projetos e soluções para a gestão das águas, com modelos práticos de uso, reúso e não-uso da água, de forma sustentável e socialmente responsável e as eventuais falhas no consumo de água que requerem correção e as consequências da não correção da rota de consumo exploratório desse recurso natural. (nº da TCE no sistema: 1885/2020).",2022
16720223,2022,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo(a) Superintendência Estadual da Funasa no Estado da Paraíba em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio EP 0558/08, firmado com o/a FUNDACAO NACIONAL DE SAUDE, Siafi/Siconv 650424, função SAUDE, que teve como objeto EXECUCAO DE MELHORIA HABITACIONAL PARA CONTROLE DA DOENCA DE CHAGAS NOMUNICIPIO DE SAO JOSE DE PIRANHAS/PB (nº da TCE no sistema: 1948/2021)",2022
